ID,UF,NOMEMUN,S1,P1,ED1,EC1,SCO,TPM,DDM,SMM,POM,TPO,RSA,TXE,IDEBI,IDEBF,PIB,RFE,RER,DEM,OPNV,IMH,AUT,ESA,AVP,UVP,ESPVIDA,T_ENV,E_ANOSESTUDO,T_ANALF15M,GINI,PIND,PMPOB,PPOB,RDPC,T_AGUA,T_DENS,T_LIXO,T_LUZ,HOMEMTOT,MULHERTOT,PEA,pesoRUR,pesourb,IDHM,IDHM_E,IDHM_L,IDHM_R
1100015,11,ALTA FLORESTA D'OESTE,0.8486486486486486,0.08925147147154948,0.9528014273867855,0.9398164706255495,0.7076295045331333,24392,3.45,1.8,3271.0,14.1,41.8,95.7,6.2,4.8,19611.75,88.0,61193.26,63500.28,14.12,4.2,7067025.0,2.6,36.5,0.4,70.75,5.84,8.67,11.99,0.58,14.29,26.04,47.12,476.99,93.69,22.58,94.05,93.98,12656,11736,10611,10422,13970,0.641,0.526,0.763,0.657
1100023,11,ARIQUEMES,0.9470842332613391,0.11181570610093645,0.9948756984906362,0.9515706354789517,0.7513365683329658,90353,20.41,2.0,19886.0,18.7,35.0,97.2,5.5,4.9,21389.67,66.2,235252.82,198489.65,13.34,1.2,4426571.0,8.6,33.8,5.1,73.36,4.36,9.18,7.9,0.53,4.36,11.54,29.04,689.95,98.54,27.15,96.72,98.58,45543,44810,45300,13828,76525,0.702,0.6,0.806,0.716
1100031,11,CABIXI,1.0,0.11432284328197945,0.9416316136629806,0.9653743829586092,0.7553322099758923,6313,4.8,1.8,607.0,11.2,41.4,98.1,6.1,5.1,22315.8,91.4,21441.7,19269.95,,6.5,1314352.0,22.1,1.0,0.0,70.39,6.87,10.09,13.63,0.51,7.27,21.2,46.98,457.17,95.49,19.93,99.14,96.36,3266,3047,2869,3620,2693,0.65,0.559,0.757,0.65
1100049,11,CACOAL,0.8982412060301508,0.17386735133175063,1.0,0.9322612304214479,0.7510924469458373,78574,20.72,2.0,19942.0,23.5,35.6,97.6,6.3,5.1,24037.91,67.4,178701.03,172804.94,9.64,1.0,3792892.0,52.5,86.6,11.7,74.27,5.57,9.74,8.29,0.57,5.97,13.08,29.82,738.06,97.96,20.5,98.17,98.89,39124,39450,40083,16653,61921,0.718,0.62,0.821,0.727
1100056,11,CEREJEIRAS,0.9615384615384616,0.11432284328197945,0.9957936247451658,0.9295587644672534,0.7503034235082151,17029,6.12,2.0,2482.0,15.1,35.7,98.5,6.4,5.3,25009.71,87.6,48054.32,42293.05,3.61,7.5,2783.3,17.1,36.2,2.0,72.94,6.44,10.22,10.29,0.5,4.72,13.7,34.85,577.18,97.53,16.66,91.89,98.85,8551,8478,8699,2610,14419,0.692,0.602,0.799,0.688
1100064,11,COLORADO DO OESTE,0.841726618705036,0.14566205804501692,0.987143481794098,0.9303924318955848,0.7262311476099339,18591,12.81,1.8,2401.0,14.8,37.0,97.6,6.4,5.0,18413.74,88.7,40127.82,37280.76,20.58,6.6,1451.06,5.2,10.7,4.1,73.81,7.51,10.4,12.43,0.49,6.64,15.76,37.11,535.41,95.54,14.73,92.79,97.76,9330,9261,8851,4934,13657,0.685,0.584,0.814,0.676
1100072,11,CORUMBIARA,0.9803921568627451,0.08925147147154948,0.9681366577210131,0.9550798844224019,0.7482150426194274,8783,2.87,1.9,860.0,11.4,42.4,97.1,5.7,4.4,38156.05,92.8,31010.24,25701.31,22.99,1.0,3060321.0,11.3,56.2,0.5,71.45,5.67,9.82,12.47,0.48,10.16,24.02,46.42,402.15,93.24,14.46,90.19,97.81,4711,4072,4251,6193,2590,0.613,0.473,0.774,0.63
1100080,11,COSTA MARQUES,0.893048128342246,0.11432284328197945,0.9723683190085741,0.9490110487316178,0.7321875848411044,13678,2.74,1.8,996.0,5.6,44.3,97.6,4.8,5.0,12413.35,94.6,33459.88,24663.36,32.41,0.5,4987177.0,8.3,44.8,0.0,70.04,3.82,9.22,8.6,0.52,9.66,30.48,55.8,370.77,95.67,36.18,79.35,90.13,7202,6476,6266,6181,7497,0.611,0.493,0.751,0.616
1100098,11,ESPIGÃO D'OESTE,0.9444444444444444,0.14566205804501692,0.9884184849520459,0.9407238963546343,0.7548122209490353,28729,6.36,1.9,5301.0,16.5,39.7,95.9,6.1,5.2,17498.71,75.6,70983.61,56572.26,7.5,4.0,4518038.0,13.7,59.4,4.2,74.15,5.21,9.55,11.33,0.52,6.6,13.86,35.08,590.8,93.7,19.97,91.07,96.7,14606,14123,15107,8119,20610,0.672,0.536,0.819,0.691
1100106,11,GUAJARÁ-MIRIM,0.9614604462474645,0.14566205804501692,0.9986467343737346,0.946044870344545,0.7629535272526903,41656,1.68,2.0,4504.0,9.8,41.4,93.1,4.9,4.4,16955.8,82.6,85114.29,75732.45,21.38,5.0,24855724.0,20.5,15.2,3.1,74.39,4.82,8.17,8.06,0.54,10.38,23.47,43.92,494.69,93.26,43.4,90.41,97.71,20947,20709,16920,6449,35207,0.657,0.519,0.823,0.663
1100114,11,JARU,0.9453125,0.13939421509240943,0.9906523534849216,0.9571165082862195,0.7581188942158876,52005,17.66,2.0,10714.0,20.6,38.8,97.8,6.1,5.2,25301.65,76.1,157576.18,97029.98,8.27,0.5,2944128.0,3.3,37.3,3.7,74.51,5.62,9.42,10.66,0.49,4.32,13.78,32.12,575.14,97.09,19.09,95.04,99.4,26005,26000,24774,16887,35118,0.689,0.577,0.825,0.687
1100122,11,JI-PARANÁ,0.8852988691437803,0.1644655869028394,0.9907784236532224,0.9409855717138738,0.745382112853429,116610,16.91,2.0,32394.0,25.3,34.1,96.6,6.2,4.8,22814.71,69.3,263239.11,227644.58,11.22,1.8,6896649.0,20.2,17.3,6.4,73.6,5.05,9.95,7.79,0.53,2.67,8.56,26.26,743.35,97.81,23.3,95.36,99.35,57824,58786,60324,11752,104858,0.714,0.617,0.81,0.728
